"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Region = S. and SE. Asia and Indian Ocean""]"																																						
	1914	6	25	19	7	25.9	1418		"INDONESIA:  SUMATERA"	-3.924	101.82	35	7.6		20	1			20	1		1		1			20	1			20	1		1		1		
	1916	8	28	6	39	29			"NEPAL; TIBET (XIZANG PROVINCE)"	30	81	33	7.7																									
	1916	9	11	6	36	30			"INDONESIA:  JAVA"	-9	113	100	7.3									3	340	3										3	340	3		
	1917	1	20	23	11	34	1439		"INDONESIA:  BALI"	-7	116		6.6	9	1500	4						2		2			1500	4						2		2		
	1918	7	8	10	22	7			"BANGLADESH:  SRIMANGAL"	24.5	91	60	7.6									2												2				
	1921	9	11	4	1	38	1490		"INDONESIA:  S OF JAVA"	-11	111		7.5									1												1				
	1922	4	10				1500		"SW. SUMATRA"	-1	100.35																											
	1922	7	8				1502		"LHOKNGA, ACEH"	5.5	95.2																											
	1923	5	15						"INDONESIA:  JAVA:  MAOS"	-7.7	109.2			9								2												2				
	1923	9	9	22	3	46.7			"BANGLADESH:  MYMENSINGH"	24.969	90.752	15	6.9		50	1						2					50	1						2				
	1924	11	12						"INDONESIA:  JAVA"	-7.3	109.8				60	2																						
	1924	12	2						"INDONESIA:  JAVA:  WONOSOBO"	-7.3	109.9			9	727	3						3																
	1925	1	8				1549		"INDONESIA:  BANDA SEA"	-8	115			3																								
	1926	6	28	3	23	25	1567		"INDONESIA:  SUMATERA"	-0.7	100.6		5.8	9		3				3		2						3				3		2				
	1926	7	5						"INDONESIA:  SUMATRA"	-0.3	100.4					3						2		2				3						2		2		
	1926	12	13						"INDONESIA:  JAVA:  PRUPUK,MARGARSARI,DUBUKTENGAH"	-7.1	109			9						2		3										2		3				
	1928	3	9	18	5	27			"INDIAN OCEAN:  S"	-2.5	88.5	33	8.1																									
	1929	1	19	11	19				"MYANMAR (BURMA):  HTAWGAW"	25.5	98		5.5	9								2												2				
	1929	6	4			0			"MYANMAR (BURMA):  MYITKYINA"	25.2	97.2											2																
	1930	5	5	13	45	58	3052		"MYANMAR (BURMA):  PEGU, RANGOON"	17.3	96.5		7.3	9	500	3						3		3		3	500	3						3		3		3
	1930	6	19	13	7	27	1625		"JAVA-S. JAVA SEA"	-5.6	105.3	33	6																									
	1930	7	2	21	3	42			"BANGLADESH:  DHUBRI,ASSAM"	25.5	90		7.1	9								3												3				
	1930	7	18			0			"MYANMAR (BURMA):  THARRAWADDY"	17.4	95.5				50	1						2																
	1930	7	19	15	20	12	1626		"S. JAVA SEA"	-9.3	114.3	100	6.5																									
	1930	12	3	18	51	51			"MYANMAR (BURMA):  PYU"	18.2	96.4		7.3		36	1				3		2		2		2	36	1				3		2		2		2
	1931	1	27	20	9	0			"MYANMAR (BURMA):  KACHIN"	25.6	96.8	60	7.6																									
	1931	1	28	20	9	0			"MYANMAR (BURMA):  KAMAING"	25.4	96.8			9								2																
	1931	8	27	15	27	0			"PAKISTAN:  MACH,BALUCHISTAN"	29.8	67.3	60	7.4									3																
	1931	9	25	5	59	44	1644		"SW. SUMATRA"	-5	102.75		7.4	8								1												1				
	1932	8	14	4	39	32			"MYANMAR; INDIA:  ASSAM"	26	95.5	120	7									2												2				
	1933	6	24	21	54	48.8			"INDONESIA:  S SUMATERA"	-5.151	104.528	20	7.5																									
	1933	6	25	5	43	22			"INDONESIA:  S SUMATERA"	-5.007	104.501	20	5.8	9		1						2						1						2				
	1934	1	15	8	43	25	1668		"NEPAL; INDIA:  BIHAR"	26.773	86.762	35	8	11	10600	4						4		4		4	10600	4						4		4		
	1935	5	30	21	32	46	1679		"PAKISTAN:  QUETTA"	29.5	66.8	33	7.5	10	60000	4					25	4		4		4	60000	4					25	4		4		
	1935	11	25	10	3	3	1688		"INDONESIA:  CELEBES SEA"	5.5	94		6.5																									
	1935	12	28	2	35	22	1689		"INDONESIA:  N SUMATERA:  BATU I,PADANG,SIBOLGA"	0	98.25	33	7.9	8						1		2		2								1		2		2		
	1936	8	23	21	12	13	1692		"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE"	6.1	94.7		7.3	8	9	1			20	1		2					9	1			20	1		2				
	1936	9	9						"INDONESIA:  N SUMATERA:  TAPANULI, KARO"	3.5	97.5			8	17	1						2					17	1						2				
	1937	9	27	8	55	10			"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN"	-9.4	110.2	70	7.2	9	1	1						3	326	3	2200	4	1	1						3	326	3	2200	4
	1941	1	11	8	32	59			"YEMEN:  RAZIH"	16.4	43.5		5.9	8	1200	4			200	3			700	3	1000	3	1200	4			200	3			700	3	1000	3
